title="aero loads for ddfdrive"
variables="x","y","z","id","cp","cfx","cfy","cfz","temp","dtdn"
zone t="mdo boundary 3", i=9644, j=19183, f=fepoint,  solutiontime= 0.1000000E+02, strandid=0
   0.119460800000025E+001  0.246104800000386E+001  0.270027600000426E+000      23118 -0.361708060191891E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.999122239932373E+000  0.000000000000000E+000
   0.110732199999839E+001  0.231868300000201E+001  0.253389000012577E+000      23484 -0.316735638020488E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.999644468441244E+000  0.000000000000000E+000
   0.106800700000042E+001  0.237554700000607E+001  0.236628200097859E+000      23946 -0.528538519857181E-001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100483132311114E+001  0.000000000000000E+000
   0.107032500000177E+001  0.232751899999761E+001  0.241370000113919E+000      24838 -0.214881512363326E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100097129504095E+001  0.000000000000000E+000
   0.110175500000042E+001  0.241477799999575E+001  0.245687300005913E+000      23002 -0.147100496173233E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100222184482733E+001  0.000000000000000E+000
   0.107567900000084E+001  0.244175399999761E+001  0.233212499697283E+000      23857 -0.197841183538373E-001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100537383952178E+001  0.000000000000000E+000
   0.118873500000084E+001  0.234237200000048E+001  0.271674900177136E+000      24923 -0.428454540449739E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.998009842845166E+000  0.000000000000000E+000
   0.122432799999458E+001  0.238610300000048E+001  0.277802500205413E+000      23511 -0.454573245836245E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.997031046840394E+000  0.000000000000000E+000
   0.118573000000262E+001  0.241203100000776E+001  0.269223400036424E+000      24291 -0.371331093858779E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.998533473896648E+000  0.000000000000000E+000
   0.115904799999932E+001  0.236652400000708E+001  0.264719200084671E+000      23377 -0.383784867331021E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.998946647583159E+000  0.000000000000000E+000
   0.124172499999492E+001  0.243337300001232E+001  0.280529300341815E+000      23770 -0.446532522411932E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.996357684981939E+000  0.000000000000000E+000
   0.102490300000029E+001  0.221625300000235E+001  0.234221100093171E+000      23020 -0.186594304807357E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100211163706971E+001  0.000000000000000E+000
   0.106859700000101E+001  0.221703700000201E+001  0.247653600306809E+000      23815 -0.310882518970437E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.999577499486683E+000  0.000000000000000E+000
   0.108587900000194E+001  0.206492500000336E+001  0.256057200120464E+000      24453 -0.456975057917863E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.996691660601185E+000  0.000000000000000E+000
   0.104274199999966E+001  0.205737000000675E+001  0.247266300088570E+000      23098 -0.387111540703680E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.998402365396200E+000  0.000000000000000E+000
   0.989132299999955E+000  0.223304000000337E+001  0.219009499968812E+000      24697  0.284314369167252E-001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100678332435628E+001  0.000000000000000E+000
   0.102218000000017E+001  0.225195100000337E+001  0.230451199978381E+000      24866 -0.140787764312926E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100334476231427E+001  0.000000000000000E+000
   0.991741300001289E+000  0.227443300000456E+001  0.215182700042084E+000      23365  0.860703179570979E-001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100624696379946E+001  0.000000000000000E+000
   0.986901100000463E+000  0.219169100000253E+001  0.222414800134376E+000      24361 -0.131663882143618E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100284629367134E+001  0.000000000000000E+000
   0.912924000001010E+000  0.171229200000117E+001  0.227845199961498E+000      24099 -0.420185634817511E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.997729806280536E+000  0.000000000000000E+000
   0.988807900000840E+000  0.174607700000235E+001  0.241659099930435E+000      24657 -0.450807104106809E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.996747709937370E+000  0.000000000000000E+000
   0.974829700005325E+000  0.180065699998916E+001  0.238805099997476E+000      23677 -0.450500069633421E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.997851209172418E+000  0.000000000000000E+000
   0.957419599998217E+000  0.171840700000523E+001  0.236752699949920E+000      24168 -0.467236622564408E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.996360940761126E+000  0.000000000000000E+000
   0.101663100000228E+001  0.190597100000184E+001  0.245266100068912E+000      23079 -0.434992502682009E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.996946667513064E+000  0.000000000000000E+000
   0.971771399999489E+000  0.193632700000050E+001  0.234287100073308E+000      23848 -0.356912205496284E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.998185929637725E+000  0.000000000000000E+000
   0.103085399999957E+001  0.195280699999507E+001  0.247177700111553E+000      24128 -0.445440883221843E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.996564313774164E+000  0.000000000000000E+000
   0.856548999999702E+000  0.191416899999711E+001  0.197114600098938E+000      23247 -0.331740418080127E-004  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100557449147488E+001  0.000000000000000E+000
   0.892262899999996E+000  0.194039400000219E+001  0.209097800019920E+000      24343 -0.111515110780967E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100287123023283E+001  0.000000000000000E+000
   0.748624599999870E+000  0.144758400000253E+001  0.196644900031745E+000      23785 -0.344819296063354E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.998162117369224E+000  0.000000000000000E+000
   0.704825599999956E+000  0.147053799999974E+001  0.180359999880217E+000      23977 -0.122622518622522E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100175844151931E+001  0.000000000000000E+000
   0.248639799987362E-001  0.000000000000000E+000  0.432783000020972E-001       3275  0.218397747831542E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100231634680946E+001  0.000000000000000E+000
   0.860359900150728E-002  0.000000000000000E+000  0.271738900061147E-001       3271  0.256610676332215E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100652578728603E+001  0.000000000000000E+000
   0.151080099981865E-001  0.000000000000000E+000  0.345473200047202E-001       3273  0.185865438142749E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100558419738068E+001  0.000000000000000E+000
   0.666626499867300E-002  0.000000000000000E+000  0.245294399950737E-001       3270  0.313471176600539E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100724160648355E+001  0.000000000000000E+000
   0.353827799972133E-001  0.000000000000000E+000  0.510279600018375E-001       3276  0.173925836250505E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100557529495960E+001  0.000000000000000E+000
   0.106683000033051E-001  0.000000000000000E+000  0.297094700060291E-001       3272  0.237027379542039E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100597787524861E+001  0.000000000000000E+000
