# Mesh convergence of output J
# Tue May 10 12:52:38 2016
# File generated by /Users/haimes/Projects/Cart3D/Cart3D/bin/aero_mkFunCon.pl
#
# (1)Cycle  (2)nCells      (3)Functional      (4)Avg. Fun. (window=1)
0            8152           5.8059252862e-02   5.8059252862e-02  
1            8936           5.8171583592e-02   5.8171583592e-02  
2            14164          7.2128137578e-02   7.2128137578e-02  
3            30124          7.0322745281e-02   7.0322745281e-02  
4            64272          6.8256812476e-02   6.8256812476e-02  
5            143697         6.3772796208e-02   6.3772796208e-02  
6            317237         6.1801317756e-02   6.1801317756e-02  
7            715698         6.0805270557e-02   6.0805270557e-02  
8            1595476        6.0472877545e-02   6.0472877545e-02  
9            4873329        6.0314481986e-02   6.0314481986e-02  
